,Host City,Host Country,Year,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal Type,Country
0,Athens,Greece,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold,Hungary
1,Athens,Greece,1896,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver,Austria
2,Athens,Greece,1896,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100m freestyle for sailors,M,Bronze,Greece
3,Athens,Greece,1896,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100m freestyle for sailors,M,Gold,Greece
4,Athens,Greece,1896,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100m freestyle for sailors,M,Silver,Greece
5,Athens,Greece,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200m freestyle,M,Bronze,Greece
6,Athens,Greece,1896,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200m freestyle,M,Gold,Hungary
7,Athens,Greece,1896,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200m freestyle,M,Silver,Greece
8,Athens,Greece,1896,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze,Greece
9,Athens,Greece,1896,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold,Austria
10,Athens,Greece,1896,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver,Greece
11,Athens,Greece,1896,Athletics,Athletics,"LANE, Francis",USA,Men,100m,M,Bronze,United States
12,Athens,Greece,1896,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100m,M,Bronze,Hungary
13,Athens,Greece,1896,Athletics,Athletics,"BURKE, Thomas",USA,Men,100m,M,Gold,United States
14,Athens,Greece,1896,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100m,M,Silver,Germany
15,Athens,Greece,1896,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110m hurdles,M,Gold,United States
16,Athens,Greece,1896,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110m hurdles,M,Silver,United Kingdom
17,Athens,Greece,1896,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500m,M,Bronze,France
18,Athens,Greece,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500m,M,Gold,Australia
19,Athens,Greece,1896,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,M,Silver,United States
20,Athens,Greece,1896,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400m,M,Bronze,United Kingdom
21,Athens,Greece,1896,Athletics,Athletics,"BURKE, Thomas",USA,Men,400m,M,Gold,United States
22,Athens,Greece,1896,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,M,Silver,United States
23,Athens,Greece,1896,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800m,M,Bronze,Greece
24,Athens,Greece,1896,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800m,M,Gold,Australia
25,Athens,Greece,1896,Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,M,Silver,Hungary
26,Athens,Greece,1896,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,discus throw,M,Bronze,Greece
27,Athens,Greece,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,discus throw,M,Gold,United States
28,Athens,Greece,1896,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,M,Silver,Greece
29,Athens,Greece,1896,Athletics,Athletics,"CLARK, Ellery",USA,Men,high jump,M,Gold,United States
30,Athens,Greece,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,M,Silver,United States
31,Athens,Greece,1896,Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,M,Silver,United States
32,Athens,Greece,1896,Athletics,Athletics,"CONNOLLY, James",USA,Men,long jump,M,Bronze,United States
33,Athens,Greece,1896,Athletics,Athletics,"CLARK, Ellery",USA,Men,long jump,M,Gold,United States
